login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
alokproc,alokproc/ab_testing_on_titanic_survivor_data,2019-05-11T10:25:30Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/activation-function,2020-02-02T04:39:37Z,0,0,,True,True,
alokproc,alokproc/ActorCriticMountainCar,2021-07-04T18:04:01Z,0,0,,True,True,
alokproc,alokproc/ACTOR_CRITIC,2021-07-04T18:04:16Z,0,0,,True,True,
alokproc,alokproc/Advanced-Finding-Lane-Lines-On-The-Road,2019-07-07T19:46:30Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/AI-Airlift,2019-08-14T17:23:56Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/AI-Introduction,2019-05-21T13:37:48Z,0,0,Jupyter Notebook,True,True,mit
alokproc,alokproc/AI_Curriculum,2020-04-22T01:44:13Z,0,0,,True,True,
alokproc,alokproc/alokyadav.github.io,2020-05-11T09:12:58Z,0,0,,True,True,
alokproc,alokproc/amazon_sentiment_nlp,2019-06-07T16:04:21Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/Analytixpro,2019-08-17T06:52:25Z,0,0,Jupyter Notebook,True,True,
alokproc,alokproc/Analytixpro-index.html,2019-08-17T06:47:15Z,0,0,,True,True,
alokproc,alokproc/ANN-for-regression-and-Classification,2021-09-19T02:40:39Z,0,0,,True,True,
alokproc,alokproc/Applied-Deep-Learning-with-Python,2019-10-02T15:13:25Z,0,0,,True,True,mit
alokproc,alokproc/applied-machine-learning,2020-01-07T04:24:38Z,0,0,,True,True,
alokproc,alokproc/Applied-Text-Mining-in-Python,2019-04-29T12:13:30Z,0,0,Jupyter Notebook,True,True,
